ID_number,Player Name,Position,Team
0,Josh Allen,QB,BUF
1,Matthew Stafford,QB,LAR
2,Drake Maye,QB,NE
3,Trevor Lawrence,QB,JAC
4,Dak Prescott,QB,DAL
5,Jared Goff,QB,DET
6,Bo Nix,QB,DEN
7,Caleb Williams,QB,CHI
8,Justin Herbert,QB,LAC
9,Jalen Hurts,QB,PHI
10,Patrick Mahomes,QB,KC
11,Baker Mayfield,QB,TB
12,Sam Darnold,QB,SEA
13,Jacoby Brissett,QB,ARI
14,Jordan Love,QB,GB
15,Daniel Jones,QB,IND
16,Jaxson Dart,QB,NYG
17,Bryce Young,QB,CAR
18,Aaron Rodgers,QB,PIT
19,Lamar Jackson,QB,BAL
20,C.J. Stroud,QB,HOU
21,Cam Ward,QB,TEN
22,Geno Smith,QB,LV
23,Brock Purdy,QB,SF
24,Tua Tagovailoa,QB,MIA
25,Tyler Shough,QB,NO
26,Joe Flacco,QB,CLE
27,J.J. McCarthy,QB,MIN
28,Mac Jones,QB,SF
29,Joe Burrow,QB,CIN
30,Marcus Mariota,QB,WAS
31,Justin Fields,QB,NYJ
32,Michael Penix Jr.,QB,ATL
33,Jayden Daniels,QB,WAS
34,Kirk Cousins,QB,ATL
35,Spencer Rattler,QB,NO
36,Shedeur Sanders,QB,CLE
37,Kyler Murray,QB,ARI
38,Carson Wentz,QB,MIN
39,Dillon Gabriel,QB,CLE
40,Tyrod Taylor,QB,NYJ
41,Davis Mills,QB,HOU
42,Jake Browning,QB,CIN
43,Russell Wilson,QB,NYG
44,Malik Willis,QB,GB
45,Brady Cook,QB,NYJ
46,Quinn Ewers,QB,MIA
47,Jameis Winston,QB,NYG
48,Tyler Huntley,QB,BAL
49,Riley Leonard,QB,IND
50,Philip Rivers,QB,IND
51,Josh Johnson,QB,WAS
52,Mitchell Trubisky,QB,BUF
53,Mason Rudolph,QB,PIT
54,Trey Lance,QB,LAC
55,Tanner McKee,QB,PHI
56,Andy Dalton,QB,CAR
57,Joe Milton III,QB,DAL
58,Chris Oladokun,QB,KC
59,Max Brosmer,QB,MIN
60,Kenny Pickett,QB,LV
61,Cooper Rush,QB,BAL
62,Aidan O'Connell,QB,LV
63,Shane Buechele,QB,KC
64,Clayton Tune,QB,GB
65,Brandon Allen,QB,TEN
66,Teddy Bridgewater,QB,TB
67,Tyson Bagent,QB,CHI
68,Joshua Dobbs,QB,NE
69,Gardner Minshew,QB,KC
70,Zach Wilson,QB,MIA
71,Jalen Milroe,QB,SEA
72,Anthony Richardson,QB,IND
73,Drew Lock,QB,SEA
74,Nick Mullens,QB,JAC
